,Unnamed: 0.2,Unnamed: 0.1,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,XGB_pred,XGB_accuracy,XGB_prob,ANN_pred,ANN_accuracy,ANN_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,LSTM_price_accuracy,LogReg_pred,LogReg_accuracy,LogReg_prob,RNN_pred,RNN_accuracy,RNN_prob
0,0,0,1,0.5236294896030246,0.6575428933811286,1,0.558601134215501,0.54408195586331,1,0.5330812854442344,0.5360977,0,0.441398865784499,0.46456105,1,0.5293005671077504,0.5323220122769042,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5472673676310841,1,0.552930056710775,0.56557786
1,1,1,0,0.5236294896030246,0.3241816583828968,1,0.558601134215501,0.5440760486367517,0,0.5330812854442344,0.3904631,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5185030538870219,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5531991036459928,1,0.552930056710775,0.56417036
2,2,2,0,0.5236294896030246,0.4968639736166826,1,0.558601134215501,0.5454604090036126,1,0.5330812854442344,0.5522272,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5151293360605068,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5526627181648858,1,0.552930056710775,0.56389844
3,3,3,1,0.5236294896030246,0.5743333873728611,1,0.558601134215501,0.5450092122036193,1,0.5330812854442344,0.59626323,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5310082291221465,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5453777865219175,1,0.552930056710775,0.56514233
4,4,4,0,0.5236294896030246,0.4215685286935289,1,0.558601134215501,0.5438722965540541,0,0.5330812854442344,0.48331833,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5293136899794322,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5398136836468904,1,0.552930056710775,0.564979
5,5,5,0,0.5236294896030246,0.4993849622599625,1,0.558601134215501,0.5446224013315977,1,0.5330812854442344,0.58840674,0,0.441398865784499,0.4645396,1,0.5293005671077504,0.5186606400635109,0,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5321035105939318,1,0.552930056710775,0.5641611
6,6,6,1,0.5236294896030246,0.5158532845723248,1,0.558601134215501,0.5452918059819631,1,0.5330812854442344,0.62333953,0,0.441398865784499,0.46624878,1,0.5293005671077504,0.5186606400635109,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5275362977252726,1,0.552930056710775,0.5617825
7,7,7,0,0.5236294896030246,0.4973612900257638,1,0.558601134215501,0.5445710451870188,1,0.5330812854442344,0.5715003,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5185030538870219,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5261927415323981,1,0.552930056710775,0.5648528
8,8,8,0,0.5236294896030246,0.4081584526584527,1,0.558601134215501,0.5424463219417394,1,0.5330812854442344,0.506057,0,0.441398865784499,0.46773374,1,0.5293005671077504,0.519227517307577,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5247869002480767,1,0.552930056710775,0.5598806
9,9,9,1,0.5236294896030246,0.6109452630702631,1,0.558601134215501,0.5451581723698474,1,0.5330812854442344,0.6325324,0,0.441398865784499,0.46807927,1,0.5293005671077504,0.5194076054972521,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5259515839282115,1,0.552930056710775,0.55421203
10,10,10,1,0.5236294896030246,0.5911690033822385,1,0.558601134215501,0.5447262282000497,1,0.5330812854442344,0.6325324,0,0.441398865784499,0.46766388,1,0.5293005671077504,0.5194076054972521,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.525910904190962,1,0.552930056710775,0.55623424
11,11,11,1,0.5236294896030246,0.5720081168831168,1,0.558601134215501,0.5426486726502262,1,0.5330812854442344,0.60692626,0,0.441398865784499,0.4685478,1,0.5293005671077504,0.5011264069170321,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5265850057454148,1,0.552930056710775,0.5204344
12,12,12,1,0.5236294896030246,0.6865271927934468,1,0.558601134215501,0.5453987627630803,1,0.5330812854442344,0.57675534,0,0.441398865784499,0.46523997,1,0.5293005671077504,0.519462563465024,0,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5315198730352713,1,0.552930056710775,0.5344299
13,13,13,1,0.5236294896030246,0.5714911199911199,1,0.558601134215501,0.5416784835589811,1,0.5330812854442344,0.6353333,0,0.441398865784499,0.4636992,1,0.5293005671077504,0.5227649084286969,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5216430730950273,1,0.552930056710775,0.50946856
14,14,14,0,0.5236294896030246,0.3671252358752358,1,0.558601134215501,0.5448559410905068,0,0.5330812854442344,0.45575795,0,0.441398865784499,0.464505,0,0.5293005671077504,0.4985214447592488,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5242328159705736,1,0.552930056710775,0.50210655
15,15,15,0,0.5236294896030246,0.4619079889408838,1,0.558601134215501,0.5336331529868942,1,0.5330812854442344,0.5280897,0,0.441398865784499,0.46473747,0,0.5293005671077504,0.497620819349852,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5381436326661788,1,0.552930056710775,0.53444934
16,16,16,0,0.5236294896030246,0.4560047175047175,1,0.558601134215501,0.5400081498776033,1,0.5330812854442344,0.5217183,0,0.441398865784499,0.46599084,1,0.5293005671077504,0.5142850076635715,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5470730151863338,1,0.552930056710775,0.51351595
17,17,17,0,0.5236294896030246,0.3441347403886102,1,0.558601134215501,0.5440066530844483,0,0.5330812854442344,0.44271144,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5020533821840479,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5621640218168477,1,0.552930056710775,0.53474677
