,Unnamed: 0,LogReg_pred,LogReg_accuracy,LogReg_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,ANN_pred,ANN_accuracy,ANN_prob,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy
151,151,1,0.4878504672897196,0.5616222175462852,1,0.4897196261682243,0.5016809115244248,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.53463167,0,0.525233644859813,0.4490269360412548,1,0.4925233644859813,0.5224485792749225,0.8570093457943925
152,152,1,0.4878504672897196,0.5466071624100257,1,0.4897196261682243,0.5107159069184296,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.53472894,0,0.525233644859813,0.4212461680476386,1,0.4925233644859813,0.5212001112911387,0.8570093457943925
153,153,0,0.4878504672897196,0.4610135066125085,0,0.4897196261682243,0.4858665934529494,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.5120688,0,0.525233644859813,0.4898008486611427,0,0.4925233644859813,0.5153096032505566,0.8570093457943925
154,154,1,0.4878504672897196,0.5168114263037209,0,0.4897196261682243,0.4899348191688794,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5004698,0,0.525233644859813,0.4470236517868096,1,0.4925233644859813,0.5188739064665467,0.8570093457943925
155,155,0,0.4878504672897196,0.4676484026712022,0,0.4897196261682243,0.4885702992557539,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5153339,0,0.525233644859813,0.3313813229254406,0,0.4925233644859813,0.5153138725284006,0.8570093457943925
156,156,0,0.4878504672897196,0.4771704136600319,1,0.4897196261682243,0.5176974704408691,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.5042901,0,0.525233644859813,0.3252585651792309,0,0.4925233644859813,0.5156804226636611,0.8570093457943925
157,157,0,0.4878504672897196,0.4902898232737934,1,0.4897196261682243,0.5187261205940809,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.5242909,0,0.525233644859813,0.4500890247093806,1,0.4925233644859813,0.5161681645527184,0.8570093457943925
158,158,1,0.4878504672897196,0.5047612704451848,0,0.4897196261682243,0.4804504666386608,1,0,0.508411214953271,0.5,0,0.4831775700934579,0.49789995,0,0.525233644859813,0.430094637388755,1,0.4925233644859813,0.5175935865843544,0.8570093457943925
159,159,1,0.4878504672897196,0.5367699033772678,1,0.4897196261682243,0.5079684321262324,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.52217,1,0.525233644859813,0.5329233805410276,1,0.4925233644859813,0.51980849073262,0.8570093457943925
160,160,1,0.4878504672897196,0.531691649533419,1,0.4897196261682243,0.5415161451028088,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.5368988,1,0.525233644859813,0.6233955056381527,1,0.4925233644859813,0.5198872150840878,0.8570093457943925
161,161,1,0.4878504672897196,0.5373243123905627,1,0.4897196261682243,0.5107159069184296,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.5243541,1,0.525233644859813,0.5430019220975104,1,0.4925233644859813,0.5206501265698871,0.8570093457943925
162,162,1,0.4878504672897196,0.5169700108288847,1,0.4897196261682243,0.5159595308196558,1,0,0.508411214953271,0.5,0,0.4831775700934579,0.49529818,0,0.525233644859813,0.4981522350198821,1,0.4925233644859813,0.5195152568544112,0.8570093457943925
163,163,1,0.4878504672897196,0.5150849194417063,1,0.4897196261682243,0.5184215008932187,1,1,0.508411214953271,1.0,0,0.4831775700934579,0.48998553,1,0.525233644859813,0.5635705683205684,1,0.4925233644859813,0.5193392131645677,0.8570093457943925
164,164,1,0.4878504672897196,0.5187117532295004,1,0.4897196261682243,0.5168341139073855,0,0,0.508411214953271,0.5,0,0.4831775700934579,0.49705267,1,0.525233644859813,0.6337075008325009,1,0.4925233644859813,0.5195315245206538,0.8570093457943925
165,165,1,0.4878504672897196,0.5574457261322999,1,0.4897196261682243,0.5337392673881032,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.51951873,1,0.525233644859813,0.6083230756171933,1,0.4925233644859813,0.522694933009553,0.8570093457943925
166,166,1,0.4878504672897196,0.5472589921065119,1,0.4897196261682243,0.5175295999372613,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.5190482,1,0.525233644859813,0.7204109501609502,1,0.4925233644859813,0.5218405152309289,0.8570093457943925
167,167,1,0.4878504672897196,0.5413413749487418,1,0.4897196261682243,0.5375459278945489,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5265504,1,0.525233644859813,0.5789795621045621,1,0.4925233644859813,0.5217378322854542,0.8570093457943925
168,168,1,0.4878504672897196,0.5372207601721055,1,0.4897196261682243,0.5192476104371042,1,0,0.508411214953271,0.5,0,0.4831775700934579,0.49456745,1,0.525233644859813,0.6213234526910997,1,0.4925233644859813,0.521340994337592,0.8570093457943925
169,169,1,0.4878504672897196,0.5295344220376624,1,0.4897196261682243,0.5184215008932187,0,0,0.508411214953271,0.5,0,0.4831775700934579,0.49162665,0,0.525233644859813,0.4532617798867798,1,0.4925233644859813,0.5207616680717249,0.8570093457943925
170,170,1,0.4878504672897196,0.5295161939874253,1,0.4897196261682243,0.5161953602317739,1,1,0.508411214953271,1.0,0,0.4831775700934579,0.49232912,1,0.525233644859813,0.7412800116550115,1,0.4925233644859813,0.5204475166110265,0.8570093457943925
171,171,1,0.4878504672897196,0.5209686964662064,1,0.4897196261682243,0.5184215008932187,0,0,0.508411214953271,0.5,0,0.4831775700934579,0.4953505,0,0.525233644859813,0.4699130226498647,1,0.4925233644859813,0.5200642505883173,0.8570093457943925
172,172,1,0.4878504672897196,0.5701052452547735,1,0.4897196261682243,0.5086540429244634,0,0,0.508411214953271,0.0,0,0.4831775700934579,0.49729878,1,0.525233644859813,0.5295163129354308,1,0.4925233644859813,0.5236057421586396,0.8570093457943925
173,173,1,0.4878504672897196,0.5330139697986409,1,0.4897196261682243,0.5248021685469664,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.50278425,1,0.525233644859813,0.6539220224220221,1,0.4925233644859813,0.5206832251251947,0.8570093457943925
174,174,1,0.4878504672897196,0.5585491193636211,1,0.4897196261682243,0.5173145184030251,1,0,0.508411214953271,0.0,0,0.4831775700934579,0.49454948,1,0.525233644859813,0.5141958760194054,1,0.4925233644859813,0.5223585240835491,0.8570093457943925
