,Unnamed: 0.1,ANN_pred,ANN_accuracy,ANN_prob,y,kNN_pred,kNN_accuracy,kNN_prob,RF_pred,RF_accuracy,RF_prob,XGB_pred,XGB_accuracy,XGB_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy,RNN_pred,RNN_accuracy,RNN_prob,LogReg_pred,LogReg_accuracy,LogReg_prob
0,0,0,0.4690181124880839,0.40404662,0,1,0.4880838894184938,1.0,0,0.5147759771210677,0.4403735480206069,0,0.5214489990467112,0.49981922,1,0.5338417540514776,0.5130851076337049,1,0.5224022878932316,0.5298211200003661,0.8303145853193518,1,0.5281220209723546,0.54389274,1,0.5176358436606292,0.5424838556634787
1,1,0,0.4690181124880839,0.3424355,1,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5581043433690493,1,0.5214489990467112,0.51125044,1,0.5338417540514776,0.5130261677608638,1,0.5224022878932316,0.5099241639075928,0.8303145853193518,1,0.5281220209723546,0.5408218,1,0.5176358436606292,0.5296459881570135
2,2,0,0.4690181124880839,0.33992243,1,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5653848308554191,0,0.5214489990467112,0.49465677,1,0.5338417540514776,0.5130261677608638,0,0.5224022878932316,0.4918928103399684,0.8303145853193518,1,0.5281220209723546,0.54375035,1,0.5176358436606292,0.5042972484565904
3,3,0,0.4690181124880839,0.404326,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5222506051739799,1,0.5214489990467112,0.50028145,1,0.5338417540514776,0.5049163943491248,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.5423456,1,0.5176358436606292,0.5005252168784059
4,4,0,0.4690181124880839,0.3616737,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5837921571892161,1,0.5214489990467112,0.5293729,1,0.5338417540514776,0.5157560192231068,1,0.5224022878932316,0.515804549935083,0.8303145853193518,1,0.5281220209723546,0.5436325,1,0.5176358436606292,0.5375316630002639
5,5,0,0.4690181124880839,0.34887496,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4906149144972673,0,0.5214489990467112,0.49844712,1,0.5338417540514776,0.5138299590569221,1,0.5224022878932316,0.5096234744531107,0.8303145853193518,1,0.5281220209723546,0.5398717,1,0.5176358436606292,0.5418346278851475
6,6,0,0.4690181124880839,0.3664235,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4446165474532347,0,0.5214489990467112,0.48154488,1,0.5338417540514776,0.504752782562896,0,0.5224022878932316,0.4853980951917346,0.8303145853193518,1,0.5281220209723546,0.5413579,1,0.5176358436606292,0.503212537030574
7,7,0,0.4690181124880839,0.38449177,0,0,0.4880838894184938,0.0,1,0.5147759771210677,0.6355243188184364,1,0.5214489990467112,0.6437427,0,0.5338417540514776,0.4918596591440583,0,0.5224022878932316,0.4597947660057428,0.8303145853193518,1,0.5281220209723546,0.542669,0,0.5176358436606292,0.47724683461078315
8,8,0,0.4690181124880839,0.37846243,0,0,0.4880838894184938,0.0,0,0.5147759771210677,0.4954007936507936,0,0.5214489990467112,0.49667105,0,0.5338417540514776,0.4852072691986333,0,0.5224022878932316,0.4480863581335301,0.8303145853193518,1,0.5281220209723546,0.5432536,0,0.5176358436606292,0.45516160768314373
9,9,0,0.4690181124880839,0.38333768,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6554578893328892,1,0.5214489990467112,0.694246,0,0.5338417540514776,0.4960702451693781,0,0.5224022878932316,0.460624941868398,0.8303145853193518,1,0.5281220209723546,0.5403044,0,0.5176358436606292,0.48607893365526034
10,10,0,0.4690181124880839,0.37876073,0,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5309935342435343,1,0.5214489990467112,0.57112116,0,0.5338417540514776,0.4894157567308563,0,0.5224022878932316,0.4698543390779076,0.8303145853193518,1,0.5281220209723546,0.5423893,0,0.5176358436606292,0.47294499140036417
11,11,0,0.4690181124880839,0.38407993,1,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5272959817959818,1,0.5214489990467112,0.57112116,0,0.5338417540514776,0.4894157567308563,0,0.5224022878932316,0.467410911839886,0.8303145853193518,1,0.5281220209723546,0.5411868,0,0.5176358436606292,0.48483046460910256
12,12,0,0.4690181124880839,0.34167635,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5264042403674759,0,0.5214489990467112,0.4964257,0,0.5338417540514776,0.490553607557471,0,0.5224022878932316,0.4671385031520655,0.8303145853193518,1,0.5281220209723546,0.50685346,0,0.5176358436606292,0.46008852754126034
13,13,0,0.4690181124880839,0.35189274,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6148567051283768,1,0.5214489990467112,0.5194405,0,0.5338417540514776,0.4968647124009782,0,0.5224022878932316,0.4921221826612122,0.8303145853193518,1,0.5281220209723546,0.546105,1,0.5176358436606292,0.5050251987300213
14,14,0,0.4690181124880839,0.35919216,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.563671307192979,1,0.5214489990467112,0.5421069,1,0.5338417540514776,0.5217487565013097,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.5146413,1,0.5176358436606292,0.5063518296484817
15,15,0,0.4690181124880839,0.36366332,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5846009015923874,1,0.5214489990467112,0.5458808,1,0.5338417540514776,0.5224126765670389,1,0.5224022878932316,0.510751399999089,0.8303145853193518,1,0.5281220209723546,0.53295803,1,0.5176358436606292,0.5184408842792022
16,16,0,0.4690181124880839,0.32760087,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5437339743589743,1,0.5214489990467112,0.5094568,1,0.5338417540514776,0.5178988823138331,1,0.5224022878932316,0.5271771268862656,0.8303145853193518,1,0.5281220209723546,0.535668,1,0.5176358436606292,0.5256186027400868
17,17,0,0.4690181124880839,0.3518331,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5912903434285013,1,0.5214489990467112,0.53758967,1,0.5338417540514776,0.5116419557000758,1,0.5224022878932316,0.5064858121931465,0.8303145853193518,1,0.5281220209723546,0.53306973,0,0.5176358436606292,0.4954277824533314
18,18,0,0.4690181124880839,0.38942042,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6085767704517705,1,0.5214489990467112,0.54302615,1,0.5338417540514776,0.5197319921095394,1,0.5224022878932316,0.5135183185690173,0.8303145853193518,1,0.5281220209723546,0.5564628,1,0.5176358436606292,0.5087438673731454
19,19,0,0.4690181124880839,0.42609522,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6220621004812181,1,0.5214489990467112,0.5341625,1,0.5338417540514776,0.5197319921095394,1,0.5224022878932316,0.5201979359648855,0.8303145853193518,1,0.5281220209723546,0.55526257,1,0.5176358436606292,0.5189161213124425
20,20,0,0.4690181124880839,0.30852634,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.536345238095238,1,0.5214489990467112,0.51647127,1,0.5338417540514776,0.5302923386292585,1,0.5224022878932316,0.5261731425124553,0.8303145853193518,1,0.5281220209723546,0.54035443,1,0.5176358436606292,0.5421746463724534
21,21,0,0.4690181124880839,0.33368093,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6117145581027159,1,0.5214489990467112,0.5251648,1,0.5338417540514776,0.5310685290557811,1,0.5224022878932316,0.5062161707557211,0.8303145853193518,1,0.5281220209723546,0.5393678,1,0.5176358436606292,0.518176501261053
22,22,0,0.4690181124880839,0.3435225,0,0,0.4880838894184938,0.0,0,0.5147759771210677,0.4800728887125944,1,0.5214489990467112,0.5123259,1,0.5338417540514776,0.517420296113603,0,0.5224022878932316,0.4931822644699747,0.8303145853193518,1,0.5281220209723546,0.53915477,0,0.5176358436606292,0.49340032715767
23,23,0,0.4690181124880839,0.3335408,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.658570929070929,0,0.5214489990467112,0.49646527,1,0.5338417540514776,0.5082864453032705,0,0.5224022878932316,0.4857051612429909,0.8303145853193518,1,0.5281220209723546,0.54134643,0,0.5176358436606292,0.4709201718712361
24,24,0,0.4690181124880839,0.32050678,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6498922050172049,1,0.5214489990467112,0.530162,1,0.5338417540514776,0.5125175307500731,1,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.5509323,0,0.5176358436606292,0.48550808781555094
25,25,0,0.4690181124880839,0.33023208,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.674211027534557,1,0.5214489990467112,0.5513012,1,0.5338417540514776,0.5309724537888784,1,0.5224022878932316,0.524140568901894,0.8303145853193518,1,0.5281220209723546,0.54352075,1,0.5176358436606292,0.5272622012789334
26,26,0,0.4690181124880839,0.33588225,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5617478942626002,1,0.5214489990467112,0.51291806,1,0.5338417540514776,0.520378416746656,1,0.5224022878932316,0.5291604048396626,0.8303145853193518,1,0.5281220209723546,0.53926736,1,0.5176358436606292,0.5473830792349159
27,27,0,0.4690181124880839,0.34066767,1,0,0.4880838894184938,0.0,0,0.5147759771210677,0.4316187146187147,0,0.5214489990467112,0.4966147,1,0.5338417540514776,0.5192532625237234,1,0.5224022878932316,0.5092575308015675,0.8303145853193518,1,0.5281220209723546,0.5391048,1,0.5176358436606292,0.5169234431664301
28,28,0,0.4690181124880839,0.31441516,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4668133255633255,1,0.5214489990467112,0.52755314,1,0.5338417540514776,0.51246675393028,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.5510813,0,0.5176358436606292,0.4623068265577737
29,29,0,0.4690181124880839,0.32130957,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6866879648129646,1,0.5214489990467112,0.53332704,1,0.5338417540514776,0.5199384013066096,1,0.5224022878932316,0.5161579850769218,0.8303145853193518,1,0.5281220209723546,0.5411392,1,0.5176358436606292,0.5193706898531262
30,30,0,0.4690181124880839,0.32782543,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5657497257644315,1,0.5214489990467112,0.50487953,1,0.5338417540514776,0.520378416746656,1,0.5224022878932316,0.516226253737197,0.8303145853193518,1,0.5281220209723546,0.5397191,1,0.5176358436606292,0.52706268305397
31,31,0,0.4690181124880839,0.32802653,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.628387919442099,0,0.5214489990467112,0.49246317,1,0.5338417540514776,0.5006762219530065,0,0.5224022878932316,0.4848483362782476,0.8303145853193518,1,0.5281220209723546,0.54408246,0,0.5176358436606292,0.49043912257498967
32,32,0,0.4690181124880839,0.30986542,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6167396133278484,1,0.5214489990467112,0.53182226,1,0.5338417540514776,0.5208093254427785,0,0.5224022878932316,0.4723724567308943,0.8303145853193518,1,0.5281220209723546,0.5433489,0,0.5176358436606292,0.4632801178080337
33,33,0,0.4690181124880839,0.33561456,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6175712481962484,1,0.5214489990467112,0.530162,1,0.5338417540514776,0.5117953444332559,1,0.5224022878932316,0.5056755326517663,0.8303145853193518,1,0.5281220209723546,0.55416644,0,0.5176358436606292,0.49730369667046265
34,34,0,0.4690181124880839,0.31258363,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6713706848706849,1,0.5214489990467112,0.5432361,1,0.5338417540514776,0.5224643785576826,1,0.5224022878932316,0.5212123773339508,0.8303145853193518,1,0.5281220209723546,0.54443705,1,0.5176358436606292,0.529352633299562
