,LogReg_pred,LogReg_accuracy,LogReg_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,ANN_pred,ANN_accuracy,ANN_prob,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy,RNN_pred,RNN_accuracy,RNN_prob,XGB_pred,XGB_accuracy,XGB_prob
872,1,0.4878504672897196,0.5265203865460351,1,0.4897196261682243,0.5182154080865838,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.5255668,0,0.525233644859813,0.4397293164351988,1,0.4925233644859813,0.5193873455409781,0.8570093457943925,1,0.4934579439252336,0.557881,0,0.4962616822429906,0.47664982
873,1,0.4878504672897196,0.5134994572663129,1,0.4897196261682243,0.5067325226833006,0,0,0.508411214953271,0.0,1,0.4831775700934579,0.5110674,0,0.525233644859813,0.406487274979922,1,0.4925233644859813,0.5188640682878223,0.8570093457943925,1,0.4934579439252336,0.54962206,1,0.4962616822429906,0.5155444
874,1,0.4878504672897196,0.5294746801062832,1,0.4897196261682243,0.5162363812381715,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.5083994,0,0.525233644859813,0.4320430665825402,1,0.4925233644859813,0.5197990085375,0.8570093457943925,1,0.4934579439252336,0.5595635,0,0.4962616822429906,0.4892177
875,1,0.4878504672897196,0.5341531289718515,1,0.4897196261682243,0.5187583017130143,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.52424794,1,0.525233644859813,0.5760062170371769,1,0.4925233644859813,0.5197390581966467,0.8570093457943925,1,0.4934579439252336,0.5593673,0,0.4962616822429906,0.48669094
876,1,0.4878504672897196,0.5304791206994978,1,0.4897196261682243,0.514060468675155,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.5099617,0,0.525233644859813,0.469135101010101,1,0.4925233644859813,0.5189107229501826,0.8570093457943925,1,0.4934579439252336,0.51073635,0,0.4962616822429906,0.46974766
877,0,0.4878504672897196,0.4609202025653614,0,0.4897196261682243,0.4829881104873517,0,0,0.508411214953271,0.5,0,0.4831775700934579,0.49581584,0,0.525233644859813,0.4898229548229548,0,0.4925233644859813,0.5143340955289323,0.8570093457943925,0,0.4934579439252336,0.460915,0,0.4962616822429906,0.45448688
878,1,0.4878504672897196,0.5102184605386326,0,0.4897196261682243,0.4887413561423571,1,0,0.508411214953271,0.5,0,0.4831775700934579,0.4983849,1,0.525233644859813,0.5603948273948274,1,0.4925233644859813,0.5179264581039018,0.8570093457943925,0,0.4934579439252336,0.48430294,0,0.4962616822429906,0.4545313
879,1,0.4878504672897196,0.518201669745989,0,0.4897196261682243,0.4877901983822865,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.50426936,0,0.525233644859813,0.4038757353757354,1,0.4925233644859813,0.5183666688899264,0.8570093457943925,1,0.4934579439252336,0.4995341,1,0.4962616822429906,0.5844072
880,0,0.4878504672897196,0.4805871345517747,0,0.4897196261682243,0.4804504666386608,0,1,0.508411214953271,1.0,0,0.4831775700934579,0.49537224,0,0.525233644859813,0.4734314770197121,0,0.4925233644859813,0.5156009180123611,0.8570093457943925,0,0.4934579439252336,0.45930895,0,0.4962616822429906,0.4785459
881,0,0.4878504672897196,0.4881992052308052,0,0.4897196261682243,0.4814007635438876,0,0,0.508411214953271,0.0,1,0.4831775700934579,0.50189203,0,0.525233644859813,0.4405312204135733,1,0.4925233644859813,0.5163798643933093,0.8570093457943925,0,0.4934579439252336,0.48003346,0,0.4962616822429906,0.4823332
882,0,0.4878504672897196,0.4843264778833188,0,0.4897196261682243,0.4904160900817532,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.53408825,1,0.525233644859813,0.6868043900543899,0,0.4925233644859813,0.5155199488937254,0.8570093457943925,0,0.4934579439252336,0.4677637,0,0.4962616822429906,0.485809
883,0,0.4878504672897196,0.4437394433789736,0,0.4897196261682243,0.4904160900817532,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.5372556,0,0.525233644859813,0.4229835352555939,0,0.4925233644859813,0.5124764733629121,0.8570093457943925,0,0.4934579439252336,0.45903525,0,0.4962616822429906,0.48208818
884,0,0.4878504672897196,0.4517010719790765,0,0.4897196261682243,0.4904160900817532,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5210736,1,0.525233644859813,0.5124405651538005,0,0.4925233644859813,0.513282883448925,0.8570093457943925,0,0.4934579439252336,0.46289927,0,0.4962616822429906,0.47536454
885,0,0.4878504672897196,0.4613136763422966,0,0.4897196261682243,0.4904160900817532,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5231245,0,0.525233644859813,0.441187364922659,0,0.4925233644859813,0.5140327474023487,0.8570093457943925,0,0.4934579439252336,0.46086875,1,0.4962616822429906,0.5062384
886,1,0.4878504672897196,0.5547389804469082,1,0.4897196261682243,0.5178078922788217,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5392804,0,0.525233644859813,0.496640451309956,1,0.4925233644859813,0.5200180644920556,0.8570093457943925,1,0.4934579439252336,0.54762834,1,0.4962616822429906,0.5400969
887,0,0.4878504672897196,0.4987214771769888,1,0.4897196261682243,0.5160265931746812,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.53017676,1,0.525233644859813,0.5408090414487474,0,0.4925233644859813,0.516074591505861,0.8570093457943925,0,0.4934579439252336,0.4761137,1,0.4962616822429906,0.5042062
888,0,0.4878504672897196,0.4779182140838052,0,0.4897196261682243,0.49067621575456,0,0,0.508411214953271,0.0,1,0.4831775700934579,0.50861835,0,0.525233644859813,0.3824261041246335,0,0.4925233644859813,0.5145430622247295,0.8570093457943925,0,0.4934579439252336,0.46157795,1,0.4962616822429906,0.51320314
889,0,0.4878504672897196,0.4829085480889396,0,0.4897196261682243,0.49067621575456,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5086824,0,0.525233644859813,0.484378610424663,0,0.4925233644859813,0.5151039615498287,0.8570093457943925,0,0.4934579439252336,0.46447667,1,0.4962616822429906,0.5034674
890,0,0.4878504672897196,0.4762972834003423,0,0.4897196261682243,0.4867039502279864,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5012443,0,0.525233644859813,0.4761664846591318,0,0.4925233644859813,0.5144433293068251,0.8570093457943925,0,0.4934579439252336,0.4609709,1,0.4962616822429906,0.51052713
