,Unnamed: 0,LogReg_pred,LogReg_accuracy,LogReg_prob,RNN_pred,RNN_accuracy,RNN_prob,LSTM_price_accuracy,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,XGB_pred,XGB_accuracy,XGB_prob,y,kNN_pred,kNN_accuracy,kNN_prob
0,0,0,0.5342723004694836,0.435014868845548,0,0.539906103286385,0.4405007,0.815962441314554,0,0.5370892018779343,0.3485345395918152,0,0.5342723004694836,0.402208093670594,0,0.5342723004694836,0.4177838479724686,0,0.5352112676056338,0.363009,1,0,0.5352112676056338,0.5
1,1,0,0.5342723004694836,0.4383174136379174,0,0.539906103286385,0.43846905,0.815962441314554,0,0.5370892018779343,0.3215726634476635,0,0.5342723004694836,0.425237672283537,0,0.5342723004694836,0.4177838479724686,0,0.5352112676056338,0.33440596,0,0,0.5352112676056338,0.5
2,2,0,0.5342723004694836,0.4410796785027976,0,0.539906103286385,0.43836787,0.815962441314554,1,0.5370892018779343,0.5861419144580907,0,0.5342723004694836,0.4118441676034038,0,0.5342723004694836,0.4177838479724686,1,0.5352112676056338,0.53863746,1,0,0.5352112676056338,0.5
3,3,0,0.5342723004694836,0.4354457090496231,0,0.539906103286385,0.43708274,0.815962441314554,0,0.5370892018779343,0.413045745920746,0,0.5342723004694836,0.4062235437555603,0,0.5342723004694836,0.4177838479724686,0,0.5352112676056338,0.2988391,1,0,0.5352112676056338,0.5
4,4,0,0.5342723004694836,0.4304904529575298,0,0.539906103286385,0.4030221,0.815962441314554,0,0.5370892018779343,0.4370033732607263,0,0.5342723004694836,0.3917456366406182,0,0.5342723004694836,0.4316145888065033,0,0.5352112676056338,0.41148567,1,0,0.5352112676056338,0.0
5,5,0,0.5342723004694836,0.4395182518938619,0,0.539906103286385,0.38956225,0.815962441314554,0,0.5370892018779343,0.4617963564213566,0,0.5342723004694836,0.3927890919107653,0,0.5342723004694836,0.4177838479724686,0,0.5352112676056338,0.40468326,1,0,0.5352112676056338,0.5
6,6,0,0.5342723004694836,0.445303007859564,0,0.539906103286385,0.38836244,0.815962441314554,0,0.5370892018779343,0.3274313407181054,0,0.5342723004694836,0.3921355398026852,0,0.5342723004694836,0.4316145888065033,0,0.5352112676056338,0.3922965,0,0,0.5352112676056338,0.0
7,7,0,0.5342723004694836,0.4641727989264793,0,0.539906103286385,0.38513255,0.815962441314554,1,0.5370892018779343,0.5772683133859603,0,0.5342723004694836,0.4237189435212318,0,0.5342723004694836,0.4316145888065033,0,0.5352112676056338,0.42835045,1,0,0.5352112676056338,0.5
8,8,0,0.5342723004694836,0.4593326255547865,0,0.539906103286385,0.3994589,0.815962441314554,0,0.5370892018779343,0.4840493493434671,0,0.5342723004694836,0.4141590169620611,0,0.5342723004694836,0.4316145888065033,0,0.5352112676056338,0.42680866,1,0,0.5352112676056338,0.0
9,9,0,0.5342723004694836,0.4554341194984421,0,0.539906103286385,0.3952562,0.815962441314554,0,0.5370892018779343,0.3834233127983127,0,0.5342723004694836,0.4171993969337746,0,0.5342723004694836,0.4177838479724686,0,0.5352112676056338,0.39088327,0,0,0.5352112676056338,0.0
10,10,0,0.5342723004694836,0.4431209874147981,0,0.539906103286385,0.38557914,0.815962441314554,1,0.5370892018779343,0.5605493497730337,0,0.5342723004694836,0.4050207446266046,0,0.5342723004694836,0.4177838479724686,0,0.5352112676056338,0.3573556,0,1,0.5352112676056338,1.0
11,11,0,0.5342723004694836,0.4428378429640123,0,0.539906103286385,0.37509236,0.815962441314554,0,0.5370892018779343,0.2954980158730159,0,0.5342723004694836,0.3901798078827723,0,0.5342723004694836,0.4470128168505842,0,0.5352112676056338,0.4168689,1,0,0.5352112676056338,0.5
12,12,0,0.5342723004694836,0.4437134073616551,0,0.539906103286385,0.35811067,0.815962441314554,0,0.5370892018779343,0.2413817848817849,0,0.5342723004694836,0.3868773314734626,0,0.5342723004694836,0.4470128168505842,0,0.5352112676056338,0.40664673,0,0,0.5352112676056338,0.0
13,13,0,0.5342723004694836,0.4518205608264488,0,0.539906103286385,0.35390723,0.815962441314554,0,0.5370892018779343,0.4260270122034829,0,0.5342723004694836,0.4073141180577648,0,0.5342723004694836,0.4758266159778416,0,0.5352112676056338,0.42147675,0,0,0.5352112676056338,0.0
14,14,0,0.5342723004694836,0.4754385524369197,0,0.539906103286385,0.39141285,0.815962441314554,0,0.5370892018779343,0.4511324574118691,0,0.5342723004694836,0.429655893772464,0,0.5342723004694836,0.4781479959083953,0,0.5352112676056338,0.44195974,1,0,0.5352112676056338,0.5
15,15,0,0.5342723004694836,0.472177500444027,0,0.539906103286385,0.40182006,0.815962441314554,0,0.5370892018779343,0.313611888111888,0,0.5342723004694836,0.4256375939543272,0,0.5342723004694836,0.4772591169431646,0,0.5352112676056338,0.42707273,1,0,0.5352112676056338,0.0
16,16,0,0.5342723004694836,0.4545713049620256,0,0.539906103286385,0.35531437,0.815962441314554,0,0.5370892018779343,0.31758134594164,0,0.5342723004694836,0.4135436799599664,0,0.5342723004694836,0.4555349295993722,0,0.5352112676056338,0.40957573,0,0,0.5352112676056338,0.0
17,17,0,0.5342723004694836,0.4443001584254909,0,0.539906103286385,0.35747254,0.815962441314554,0,0.5370892018779343,0.157451160939164,0,0.5342723004694836,0.4204569791811028,0,0.5342723004694836,0.4540783564166218,0,0.5352112676056338,0.42192873,1,0,0.5352112676056338,0.0
